ID,Lat,Long,Elev,NapaDicC1,NapaDicC2,maizC1,maizC2
1,3913.2630000003,16153.5192,245.99,4.98,4.38,6.8833,4.1816
2,3933.3320000004,16153.5313,245.9,4.85,4.25,9.13,6.4079
3,3953.2910000002,16153.5444,245.59,4.5,3.9,7.63,6.2962
4,3973.25,16153.5575,245.48,4.34,3.74,7.58,6.9209
5,3993.3190000001,16153.5696,245.34,4.16,3.56,9.3425,7.3573
6,4013.2779999999,16153.5827,245.23,4.01,3.41,10.48,7.1703
7,4033.2369999997,16153.5958,245.19,3.93,3.33,9.3175,7.982
8,4053.1950000003,16153.5159,245.11,3.8,3.2,10.1725,8.1954
9,4073.2640000004,16153.528,245.05,3.69,3.09,10.5433,7.8702
10,4093.2230000002,16153.5411,244.99,3.59,2.99,9.812,6.9912
11,4113.182,16153.5543,244.92,3.48,2.88,9.485,8.4487
12,4133.2510000002,16153.5664,244.92,3.43,2.83,10.73,8.2216
13,4153.21,16153.5795,244.92,3.39,2.79,12.4975,8.0049
14,4173.1689999998,16153.5926,244.9,3.32,2.72,9.8275,7.9418
15,4193.2369999997,16153.5118,244.9,3.26,2.66,10.7225,6.8783
16,4213.1960000005,16153.5249,244.86,3.17,2.57,10.7833,8.1039
17,4233.1550000003,16153.538,244.89,3.14,2.54,11.828,8.2592
18,4253.1129999999,16153.5511,244.94,3.17,2.57,13.4833,8.32
19,4273.1830000002,16153.5633,244.92,3.15,2.55,10.7875,8.4167
20,4293.142,16153.5764,244.97,3.2,2.6,10.3475,8.3601
21,4313.0999999996,16153.5895,245.04,3.26,2.66,10.9767,7.9962
22,4333.1689999998,16153.5087,245.05,3.26,2.66,10.1733,7.7822
23,4353.1279999996,16153.5218,245.17,3.36,2.76,10.7233,8.8856
24,4373.0860000001,16153.5349,245.32,3.49,2.89,9.71,7.916
25,4393.1560000004,16153.5471,245.48,3.63,3.03,8.8025,8.0276
26,4413.1150000002,16153.5602,245.63,3.76,3.16,7.486,7.7445
27,4433.0729999999,16153.5734,245.75,3.86,3.26,7.9875,7.6562
28,4453.0319999997,16153.5865,245.77,3.86,3.26,9.7667,8.1836
29,4473.1009999998,16153.5057,245.78,3.85,3.25,8.92,6.9524
30,4493.0599999996,16153.5188,245.76,3.81,3.21,6.854,5.9069
31,4513.0180000002,16153.5319,245.72,3.75,3.15,9.9167,6.9778
32,4533.0880000005,16153.5441,245.76,3.77,3.17,9.3567,8.2127
33,4553.0460000001,16153.5572,245.82,3.81,3.21,9.686,7.8214
34,4573.0049999999,16153.5704,245.83,3.79,3.19,8.7225,7.6874
35,4593.0750000002,16153.5826,245.84,3.89,3.6,10.23,8.6456
36,4613.0329999998,16153.5957,245.88,3.9,3.61,10.4367,10.2665
37,4632.9910000004,16153.5159,245.94,3.95,3.66,9.6567,9.0599
38,4652.9500000002,16153.529,246.01,3.99,3.7,9.4,8.1512
39,4673.0190000003,16153.5412,246.06,4.02,3.73,6.226,7.5978
40,4692.9780000001,16153.5543,245.98,3.91,3.62,5.59,8.3043
41,4712.9369999999,16153.5675,246.02,3.94,3.65,4.645,4.7741
42,4733.0060000001,16153.5797,246.08,3.97,3.68,5.0775,2.8672
43,3913.3250000002,16173.5142,246.33,5.37,4.77,5.865,4.5119
44,3933.284,16173.5273,246.22,5.22,4.62,5.76,4.0143
45,3953.2429999998,16173.5405,245.94,4.89,4.29,6.5567,4.5728
46,3973.3119999999,16173.5526,245.76,4.67,4.07,6.4983,6.4005
47,3993.2709999997,16173.5658,245.55,4.42,3.82,6.9967,7.0531
48,4013.2300000005,16173.5789,245.35,4.17,3.57,7.935,7.8191
49,4033.2980000004,16173.4981,245.27,4.04,3.44,9.9533,8.1034
50,4053.2570000002,16173.5112,245.19,3.92,3.32,9.7933,8.2121
51,4073.216,16173.5244,245.12,3.81,3.21,10.355,8.1173
52,4093.1739999997,16173.5375,245.05,3.69,3.09,11.0625,8.5197
